Group,Item,Spec / why,Qty,"Indicative USD (LINE TOTAL, not unit)",Source,Link,Search term if the link dies,Status,Provenance,Stage
Airframe,M3 female-female standoffs 12 mm (ESC-to-FC spacer),"THE SPACER THE STACK ACTUALLY NEEDS - and it replaces the 35 mm standoff row that used to be here. That row assumed the top plate stood on standoffs at the 30.5 mm stack pattern; the manufacturer DXF (cad/frame-dxf.json) shows the top plate has NO 30.5 holes - it rides on the kit's own 22 mm standoffs (on the mid plate, front) and 30 mm standoffs (on the bottom plate, rear), and the stack fits under it with 2.3 mm to spare (tools/check_fit.py, tools/check_cad_fit.py). USE THE KIT'S STANDOFFS. What the kit does NOT give you is the separation between the ESC and this board: ESC parts 6.2 + air 3.0 + this board's bottom parts 2.9 = 12.1 mm, which a silicone grommet cannot hold. Four M3 female-female standoffs, 12 mm, sit on the ESC's 30.5 holes and carry this board. Aluminium or nylon; nylon is lighter and isolates the frame from the FC ground.",4,2,AliExpress,https://www.aliexpress.com/w/wholesale-M3-aluminium-standoff-12mm-female-female.html,M3 x 12 mm standoff female-female 30.5 stack,TO BUY,"[M] 12.1 mm from tools/fasteners.py (ESC parts + MOUNTING gap + design.stack_heights bottom parts, measured from the routed board); [D] kit standoffs 30 and 22 mm from team-blacksheep.com prod:source1v6; [D] top plate hole pattern from cad/frame-dxf.json; [A] price",B1
Airframe,M3x30 socket screws (stack bolts),"THE FOUR SCREWS THAT HOLD THE STACK AND CLAMP THE ARMS IN ONE GO. They run from a nut on top of this board down through the 12 mm spacer, the ESC, the 2 mm mid plate and the 6 mm arm root into the M3 press nuts the frame ships pre-installed in its bottom plate (8 pcs, 30.5 and 20 mm patterns - drawn on the DXF as ""M3 Press nuts pre-install""). tools/fasteners.py derives 27.3 mm through-stack plus engagement, so M3x30 (28.8 mm needed at the worst grommet compression, tools/check_fit.py). The frame kit's longest screw is M3x14 - it does not include stack bolts.",4,2,AliExpress,https://www.aliexpress.com/w/wholesale-m3x30-socket-head-screw-black.html,M3x30 socket head cap screw black steel,TO BUY,[M] tools/fasteners.py: FC 1.6 + spacer 12.1 + ESC 1.6 + mid plate 2.0 + arm 6.0 + 4.0 engagement; [D] press nuts and screw set from team-blacksheep.com prod:source1v6 and the DXF hardware text,B1
Airframe,M3 socket screw assortment (10/12/14/16/20 mm) + M3 washers,"THE ANTI-REORDER KIT. Both derived joints round UP past their engagement target (motor 13.5 -> M3x14 puts 4.5 mm into the boss; stack 27.3 -> M3x30 puts 6.7 mm into the press nut), and the tapped depths are the one measurement that can invalidate the length. With the assortment in hand, a shallow boss is a 12 mm screw plus a washer, not a second order. ~GBP 4.",1 kit,5,AliExpress,https://www.aliexpress.com/w/wholesale-m3-socket-head-screw-assortment-kit.html,M3 hex socket cap screw assortment kit 10-20mm,TO BUY,[M] tools/fasteners.py: both joints and both warnings,B1
Airframe,"M3 silicone grommets, spare set (30.5 mm stack)","THE FLANGE IS A PROPERTY OF THE KIT'S GROMMETS. R21 sits 2.98 mm from the top-side hole at (+15.25, +15.25): a 5.5 mm cap head clears by 0.23 mm, a 6.0 mm flange touches it, a 7 mm washer overlaps by 0.52 mm. If the kit's grommets measure over 5.9 mm, swap the set rather than order; and the gate lists the flange as a bench item until it is measured.",1 pack,2,AliExpress,https://www.aliexpress.com/w/wholesale-m3-silicone-grommet-flight-controller.html,M3 silicone damper grommet flight controller 30.5,TO BUY,"[M] check_mechanical.py: nearest copper to each hole; readiness.py bench item ""grommet flange""",B1
Payload,XIAO ESP32S3 Sense (recording camera),"Nose camera recording to its own microSD. Chosen over a RunCam-class action cam because it does the same job for a fifth of the price. OV2640/OV3660 + microSD + 8MB PSRAM; with the open-source ESP32-CAM_MJPEG2SD firmware it writes ~20 fps AVI to the card (a naive JPEG-per-frame loop gets ~1 fps at SVGA - use the firmware). Takes 5V + GND from a payload pad (P41/P51/P61/P71) and nothing else: no UART, no radio. WIFI AND ESP-NOW MUST STAY OFF IN FLIGHT - the RC link is 2.4GHz ELRS and an ESP32 radiating 2.4GHz centimetres from the receiver can desensitise it, which is a control-link failure, not a video glitch. ESP-NOW cannot carry video anyway (~250 byte payloads). For LIVE video later, that is a 5.8GHz analogue AIO cam+VTX off the VBAT pad PF1 plus a UVC receiver the laptop sees as a webcam - separate purchase. Rolling shutter on a quad means jello: soft-mount it. IT CANNOT ALSO BE THE OPTICAL FLOW SENSOR, and not for one reason but four: one camera cannot face both down (flow) and forward (recording); its OV2640/OV3660 is ROLLING shutter, which prop vibration turns into jello that corrupts flow - the deferred flow camera is an OV9281 GLOBAL shutter part for exactly this reason; the sensor emits JPEG or raw, not both, and recording needs the in-sensor JPEG to stay inside the CPU budget; and SD writes stall 100ms+ during wear-levelling, which a recorder absorbs but a position-estimate loop cannot. Use a PMW3901-based module for flow - it computes flow in-sensor and needs no camera pipeline. See docs/SENSORS.md.",1,14,AliExpress,https://www.aliexpress.com/w/wholesale-XIAO-ESP32S3-Sense.html,XIAO ESP32S3 Sense OV2640 camera microSD,TO BUY,"[D] Seeed: XIAO form factor 21 x 17.5 mm, OV2640/OV3660, microSD, 8MB PSRAM; [D] ESP32-CAM_MJPEG2SD ~20 fps AVI to SD; [L] ~GBP 10-14 AliExpress; [A] 13 mm stacked height and 6 g - MEASURE ON ARRIVAL",B2
Payload,Camera power: thin silicone wire + 2-pin JST pigtails,"TWO WIRES from PV1 (+5V_PAYLOAD) and PV2 (GND) to the XIAO's 5V and GND pins, with an optional 2-pin JST in the middle so the camera pod detaches. The payload buck U20 carries it, not the flight controller's own +5 V (P41/P46).",1 kit,2,AliExpress,https://www.aliexpress.com/w/wholesale-JST-PH-2pin-pigtail-30awg-silicone-wire.html,30AWG silicone wire + JST-PH 2-pin pigtail,TO BUY,"[M] design.MODULES rec_camera on +5V_PAYLOAD; budgeted in PAYLOAD_PROFILES[""drone""]",B2
Wiring,JST-SH 1.0mm 4-pin pigtails (the sensor and RC leads),"FIVE PORTS USE THIS ONE CONNECTOR: J5 (ELRS receiver), J9 (I2C rangefinders), J11 (360 lidar), J6 (CAN: 1 +5V_PAYLOAD, 2 CANH, 3 CANL, 4 GND) and J19 (SWD: 1 +3V3, 2 SWDIO, 3 SWCLK, 4 GND - solder the other end to the ST-Link's Dupont pins). Board side is SM04B-SRSS-TB, so you need the MATING lead - a 4-pin JST-SH 1.0mm housing on a pigtail. BUY BARE-ENDED, single-ended pigtails.",1 pack of 10,5,AliExpress,https://www.aliexpress.com/w/wholesale-jst-sh-1.0mm-4pin-pigtail.html,JST SH 1.0mm 4 pin single end pigtail wire 10pcs,TO BUY,"[M] design.py: J5/J9/J11/J6/J19 are all SM04B-SRSS-TB (C160404), 1.0mm pitch, 4 signal pins",B1
Wiring,JST-SH 1.0mm 8-pin pigtail (spare J2 ESC lead),"THE ESC SHIPS 25 mm AND 75 mm LEADS, AND THIS IS THE ONE YOU RE-PIN OR CUT. J2 matches SpeedyBee's FC-side order (1 GND, 2 VBAT, 3-6 M1-M4, 7 CUR, 8 TEL), but the cable in the box is buzzed before VBAT is applied, and if it disagrees the 1.0 mm contacts are re-pinnable with a fine pick. A bare-ended spare is also the lead you feed the bench supply through at T1 - VBAT_IN reaches only J2.2, there are no separate battery pads.",2,3,AliExpress,https://www.aliexpress.com/w/wholesale-jst-sh-1.0mm-8pin-pigtail.html,JST SH 1.0mm 8 pin single end pigtail,TO BUY,"[M] design.py: J2 is SM08B-SRSS-TB; VBAT_IN net = J2.2, D1, Q4 only",A1
Wiring,JST-GH 1.25mm 6-pin spare lead (J3 GPS port),"THE J3 FALLBACK. J3 is XY-SM06B-GHS-TB, the Pixhawk GPS/TELEM connector, so a STOCK Pixhawk 6-pin GH lead mates with it. The GPS module ships with one; this spare closes the one residual J3 risk - a bulky moulded boot on the received lead that will not sit in the 5.30 mm clear run before R21 (derived requirement 3.6 mm). Swap the lead rather than move R21. (This row used to be the companion/TELEM1 cable for J4, which was cut from the board on 2026-09-09; UART7 reaches no pad.)",1,2,AliExpress,https://www.aliexpress.com/w/wholesale-pixhawk-jst-gh-1.25mm-6pin-cable.html,Pixhawk JST GH 1.25mm 6 pin telemetry cable,TO BUY,"[M] design.py: J3 is XY-SM06B-GHS-TB (C51940119), 1.25mm pitch; [M] 5.30 mm clear run, MATING_CLEARANCE[J3] 3.6 mm",B1
Wiring,JST-SH 1.0mm 6-pin pigtail (J17 servo/actuator header),"J17 IS A 6-PIN JST-SH, NOT 8: 1 PWM7, 2 PWM8, 3 PWM9, 4 PWM10, 5 +5V_PAYLOAD, 6 GND (pins 7/8 in the footprint are the shell tabs). Servo power is ONE pin, 5, so a two-servo loom splits pin 5 and pin 6 at a junction. docs/LANDER-COMPATIBILITY.md documented an 8-pin header with +5 V on pins 5 AND 6 until 2026-09-22 - wiring that puts the payload rail straight onto GND. Lander (TVC) use; the drone does not fit servos.",2,3,AliExpress,https://www.aliexpress.com/w/wholesale-jst-sh-1.0mm-6pin-pigtail.html,JST SH 1.0mm 6 pin single end pigtail,LATER,"[M] design.py: J17 SH1.0MM-6P-WT (C53055322), pins 1-6 from design.NETS",-
Wiring,JST-SH 1.0mm 3-pin pigtail (J15 LED strip),"J15 is the plug-in landing for the WS2812 strip: 1 +5V_PAYLOAD, 2 WS2812_OUT, 3 GND. The same strip can instead be soldered to PL1-PL3 - use one landing, not both.",1,2,AliExpress,https://www.aliexpress.com/w/wholesale-jst-sh-1.0mm-3pin-pigtail.html,JST SH 1.0mm 3 pin single end pigtail,TO BUY,"[M] design.py: J15 SH1.0MM-3P-WT (C53055319), pins from design.NETS",B1
Wiring,"Pyro arming switch or shunt plug, in the J18 loop (lander)","ONE GPIO (PC5 -> Q5) IS ALL THAT STANDS BETWEEN THE MCU AND FIRING. R55 holds Q5 off through reset and the firmware ships PYRO_FIRE LOW, but a single firmware fault still fires it. Put a physical arming switch or a removable shunt plug in series with the e-match on the J18 lead (JST-SH 2P: 1 VBAT_FUSED, 2 PYRO_DRAIN), open until the vehicle is on the pad. Standard practice for any flight pyro channel. Lander only.",1,3,anywhere,https://www.aliexpress.com/w/wholesale-rocket-arming-switch.html,rocket avionics arming switch screw switch,LATER,"[M] design.py: J18 SM02B-SRSS-TB (C160402), Q5 AO3400A, R55 47k gate pull-down, F1 3 A",-
Tools,"Bench power supply, adjustable with CURRENT LIMIT","REQUIRED BY T1 AND NOT SUBSTITUTABLE BY THE SMOKE STOPPER. the runbook's T1 says 'Bench supply on VBAT, current limit 100 mA, 16.8 V' with USB disconnected, and the whole point is that a rail fault draws its limit instead of destroying the MCU - expected draw is under 80 mA, so anything over that means stop. A smoke stopper limits INRUSH from a battery; it cannot hold a 100 mA ceiling or show you the number. Needs 0-20 V at 1 A minimum, which is the cheapest class of bench PSU there is. SKIP THIS ROW IF YOU ALREADY OWN ONE - it is listed because 'soldering iron and basic tools' does not cover it and T1 is the step that protects a GBP 190 board.",1,35,AliExpress,https://www.aliexpress.com/w/wholesale-bench-power-supply-30v-5a-adjustable.html,adjustable bench power supply 30V 5A current limit,TO BUY,"[M] runbook T1: current limit 100 mA at 16.8 V, USB disconnected",A1
Tools,Thermocouple meter or IR thermometer,"REQUIRED BY T3a (runbook Part 10) for U8, which has no sensor; U19 (TMP119) now logs U9 every flight. U9's peak junction models at 157 C on the AP2112 no-heatsink figure against a 150 C limit and 104 C on good copper (it was 179 C before U11 went DNP); U8 reaches 70-87 C at the derived 0.737 A against a 125 C recommended maximum, after the 2026-09-20 swap to an LMR33630ARNXR (the 139 C this row carried until 2026-09-20 was retired with the phantom 0.947 A budget, and the part itself then changed). Both are brackets. One case reading on U8 and one on U9 establishes the offset U19 then carries forward.",1,14,AliExpress,https://www.aliexpress.com/w/wholesale-k-type-thermocouple-thermometer.html,K type thermocouple thermometer with bead probe,TO BUY,"[M] runbook T3a; [D] AP2112 theta_JA 184 C/W no-heatsink, SBVS293 100.8 C/W EVM; [D] SNVSAN3F 7.4 RNX RthetaJA 72.5 C/W",A1
Tools,Multimeter with continuity buzzer,"Probably already in 'basic tools', listed because two steps name it specifically and both are cheap to get wrong. check_purchase asserts the ESC cable pinout is NOT desk-verifiable and says BUZZ THE CABLE YOU RECEIVE before applying VBAT - J2 matches SpeedyBee's documented order but the cable in the box is a separate gamble. And T1 reads the four rails (+5V 4.97, +3V3 3.3, +3V3A 3.3, +9V 9.03) to decide whether to continue. Any continuity-capable meter does both.",1,0,anywhere,https://www.aliexpress.com/w/wholesale-digital-multimeter-continuity.html,digital multimeter continuity buzzer,HAVE,[M] runbook T1 rail voltages; [M] check_purchase.py ESC cable assertion,A1
